term_str,n,tfidf_x,dfidf,syu_sentiment,weighted_sentiment
accomplishment,7.0,0.02312350993359348,9.954559846999834,0.5,0.01156175496679674
accomplishments,1.5,0.017374241197952386,9.954559846999834,1.0,0.017374241197952386
accord,1.6,0.025861821192137542,18.27675914306277,0.8,0.020689456953710036
accordingly,1.4,0.0180262314546144,26.55351828612554,0.25,0.0045065578636536
accost,1.0,0.018387614019571643,9.954559846999834,-0.8,-0.014710091215657316
accosted,1.5,0.004150756553992808,9.954559846999834,-0.8,-0.0033206052431942463
accumulate,1.0,0.036007710382529624,5.977279923499917,0.25,0.009001927595632406
accurate,1.0,0.015485181148963516,5.977279923499917,0.5,0.007742590574481758
accurately,1.0,0.01031533967607964,9.954559846999834,0.6,0.006189203805647784
accursed,1.4,0.020681307543500827,18.27675914306277,-0.5,-0.010340653771750414
accusation,1.5,0.017970351182083354,9.954559846999834,-1.0,-0.017970351182083354
accuse,1.0,0.020267634926260495,13.176952268336285,-0.5,-0.010133817463130248
accused,2.8,0.03308297307490718,18.27675914306277,-0.5,-0.01654148653745359
accuses,1.0,0.029015921958737458,5.977279923499917,-0.5,-0.014507960979368729
ace,1.0,0.036007710382529624,5.977279923499917,0.8,0.0288061683060237
ache,1.0,0.010987646918198377,5.977279923499917,-0.75,-0.008240735188648783
ached,2.0,0.0010681343680307214,5.977279923499917,-1.0,-0.0010681343680307214
aches,2.0,0.0010681343680307214,5.977279923499917,-0.5,-0.0005340671840153607
achieve,2.75,0.009656561531579767,15.909119693999665,1.0,0.009656561531579767
achievement,1.0,0.0005340671840153607,5.977279923499917,0.5,0.00026703359200768036
achievements,3.0,0.007559047908499352,9.954559846999834,1.0,0.007559047908499352
aching,5.0,0.02223407463632759,9.954559846999834,-0.75,-0.016675555977245692
acid,1.0,0.02353259812401542,5.977279923499917,-0.4,-0.009413039249606169
acknowledgment,1.0,0.050654914605931495,5.977279923499917,0.4,0.0202619658423726
acquire,2.0,0.01509496849199185,15.909119693999665,0.8,0.01207597479359348
acquired,3.4,0.016731557674561783,18.27675914306277,0.8,0.013385246139649426
acquiring,2.5,0.017818958846585332,9.954559846999834,0.8,0.014255167077268266
acquit,1.0,0.01703749370100538,9.954559846999834,-0.25,-0.004259373425251345
acquitted,1.0,0.04922465653946809,9.954559846999834,-0.25,-0.012306164134867022
acrimonious,1.0,0.0005340671840153607,5.977279923499917,-0.5,-0.00026703359200768036
acrimony,1.0,0.0005340671840153607,5.977279923499917,-1.0,-0.0005340671840153607
action,2.7142857142857144,0.017651942206569796,30.37895002019237,0.25,0.004412985551642449
active,3.2857142857142856,0.020848405283412825,22.189475010096185,0.25,0.005212101320853206
actual,1.5,0.013717805593353727,15.909119693999665,0.4,0.005487122237341492
acute,2.8,0.013012494032794548,18.27675914306277,-0.25,-0.003253123508198637
adapt,1.0,0.006669612611233463,9.954559846999834,0.8,0.005335690088986772
addicted,1.0,0.0005340671840153607,5.977279923499917,-0.5,-0.00026703359200768036
additional,1.2,0.019530273773694283,18.27675914306277,0.25,0.004882568443423571
