book_id,chap_id,term_str,n,tfidf_x,max_pos,dfidf,tfidf_y,syu_sentiment,origin,weighted_sentiment
84,44,greater,1,0.013450883833332766,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.006725441916666383
84,46,greater,1,0.01382713233216725,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.006913566166083625
84,47,greater,3,0.03778241892038057,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.018891209460190284
84,49,greater,1,0.02038432910824656,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.01019216455412328
84,51,greater,3,0.03778241892038057,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.018891209460190284
84,52,greater,2,0.017498052420353242,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.008749026210176621
84,53,greater,1,0.008710484244493026,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.004355242122246513
84,54,greater,2,0.025513289335482796,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.012756644667741398
84,56,greater,5,0.025612434242226898,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.012806217121113449
201,2,greater,6,0.009363598690607341,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.004681799345303671
18247,1,greater,28,0.004946733189599505,JJR,31.636478775998665,0.005205431718633674,0.5,British,0.0024733665947997527
84,30,groundwork,1,0.10486456006140205,NN,5.977279923499917,0.001664516826371461,0.4,British,0.04194582402456082
84,30,happiness,1,0.026628917629168757,NN,33.392662706977625,0.007854502413423177,0.75,British,0.019971688221876567
84,32,happiness,1,0.011498850794413783,NN,33.392662706977625,0.007854502413423177,0.75,British,0.008624138095810337
84,33,happiness,1,0.020237977398168256,NN,33.392662706977625,0.007854502413423177,0.75,British,0.015178483048626193
84,34,happiness,1,0.010919771977428916,NN,33.392662706977625,0.007854502413423177,0.75,British,0.008189828983071686
84,35,happiness,1,0.009667823597851078,NN,33.392662706977625,0.007854502413423177,0.75,British,0.007250867698388308
84,39,happiness,1,0.007368195654672908,NN,33.392662706977625,0.007854502413423177,0.75,British,0.005526146741004681
84,41,happiness,2,0.0215297631895407,NN,33.392662706977625,0.007854502413423177,0.75,British,0.016147322392155525
84,42,happiness,1,0.010186901374916908,NN,33.392662706977625,0.007854502413423177,0.75,British,0.007640176031187681
84,44,happiness,1,0.010325498672534824,NN,33.392662706977625,0.007854502413423177,0.75,British,0.007744124004401118
84,46,happiness,1,0.010614323810228107,NN,33.392662706977625,0.007854502413423177,0.75,British,0.00796074285767108
84,47,happiness,3,0.029003470793553233,NN,33.392662706977625,0.007854502413423177,0.75,British,0.021752603095164927
84,49,happiness,2,0.03129584133737359,NN,33.392662706977625,0.007854502413423177,0.75,British,0.023471881003030194
84,50,happiness,3,0.02995753233281485,NN,33.392662706977625,0.007854502413423177,0.75,British,0.022468149249611137
84,51,happiness,3,0.029003470793553233,NN,33.392662706977625,0.007854502413423177,0.75,British,0.021752603095164927
84,52,happiness,2,0.013432285883739993,NN,33.392662706977625,0.007854502413423177,0.75,British,0.010074214412804995
84,53,happiness,3,0.020059669227259287,NN,33.392662706977625,0.007854502413423177,0.75,British,0.015044751920444466
84,54,happiness,12,0.11751083650549311,NN,33.392662706977625,0.007854502413423177,0.75,British,0.08813312737911984
84,55,happiness,1,0.010689072569455066,NN,33.392662706977625,0.007854502413423177,0.75,British,0.008016804427091299
84,56,happiness,9,0.0353902454501647,NN,33.392662706977625,0.007854502413423177,0.75,British,0.026542684087623523
201,4,happiness,3,0.008370486975345327,NN,33.392662706977625,0.007854502413423177,0.75,British,0.006277865231508995
5230,39,happiness,1,0.02137814513891013,NN,33.392662706977625,0.007854502413423177,0.75,British,0.016033608854182597
18247,1,happiness,72,0.00976457093907332,NN,33.392662706977625,0.007854502413423177,0.75,British,0.0073234282043049895
84,30,humanity,1,0.041970481101381754,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.010492620275345439
84,39,humanity,1,0.011613191372712427,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.0029032978431781068
84,42,humanity,1,0.01605582162938765,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.004013955407346913
84,47,humanity,2,0.030475381181895037,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.007618845295473759
84,51,humanity,1,0.015237690590947518,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.0038094226477368796
201,2,humanity,2,0.0037763495229341123,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.0009440873807335281
201,4,humanity,2,0.00879528464256897,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.0021988211606422427
5230,11,humanity,1,0.012591144330414528,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.003147786082603632
5230,18,humanity,1,0.02010350775444336,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.00502587693861084
5230,37,humanity,2,0.028823101479262172,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.007205775369815543
5230,43,humanity,1,0.020802760198076177,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.005200690049519044
18247,1,humanity,27,0.005771316155738611,NN,28.707809073345125,0.0034288258723771795,0.25,British,0.0014428290389346527
84,30,ignorant,1,0.036322619787568386,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.036322619787568386
84,39,ignorant,1,0.010050433630540766,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.010050433630540766
84,45,ignorant,1,0.015566837051815023,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.015566837051815023
84,46,ignorant,1,0.014478247048191594,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.014478247048191594
84,49,ignorant,1,0.021344219875169053,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.021344219875169053
84,52,ignorant,1,0.009161014725183178,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.009161014725183178
84,53,ignorant,1,0.009120657832120698,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.009120657832120698
84,55,ignorant,1,0.014580206534446466,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.014580206534446466
84,56,ignorant,2,0.010727405843996882,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.010727405843996882
201,2,ignorant,2,0.003268175734635198,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.003268175734635198
201,3,ignorant,5,0.03473807597133218,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.03473807597133218
201,4,ignorant,2,0.007611725470188963,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.007611725470188963
5230,14,ignorant,1,0.029160413068892933,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.029160413068892933
5230,46,ignorant,1,0.012701775017738639,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.012701775017738639
18247,1,ignorant,8,0.0014799065960624717,JJ,31.05583991837097,0.0036557414950457528,-1.0,British,-0.0014799065960624717
84,30,illiterate,1,0.08732070041227924,VBP,9.954559846999834,0.001393101873982733,-0.5,British,-0.04366035020613962
18247,1,illiterate,1,0.0004447176486329447,VBP,9.954559846999834,0.001393101873982733,-0.5,British,-0.00022235882431647234
84,30,imaginative,1,0.07705820039962738,JJ,13.176952268336283,0.002069367284794216,0.5,British,0.03852910019981369
5230,15,imaginative,1,0.05291948702143085,JJ,13.176952268336283,0.002069367284794216,0.5,British,0.026459743510715426
18247,1,imaginative,1,0.0003924515209773732,JJ,13.176952268336283,0.002069367284794216,0.5,British,0.0001962257604886866
84,30,immense,1,0.052232981114033614,JJ,23.81823938799933,0.002479356104739728,0.5,British,0.026116490557016807
