term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
clear,-0.022724608324384183,-0.004792314576677155,-0.0043359448922163256,0.0012150864506660375,-0.023002877099198883,0.01572933707655722,-0.010832109283205582,0.018365312964813394,0.0033670286272714308,0.00024494413246600787
cause,-0.031872656631467204,0.02825803437239744,-0.004413399522148169,-0.0014271195946798402,-0.0029441985162185283,0.012037699609494482,0.007465541215385457,-0.006605715193056221,-0.024091084984472617,0.00507565842798486
remain,-0.02290839923570475,0.016546191466691035,-0.008023236015513517,-0.0004674541161366324,0.007996056242777175,0.0008849639320327595,-0.0067733802419653166,-0.010805473619281799,0.013413303987757839,0.0007060851150538912
high,-0.026589700278284698,0.011930460415375528,-0.0012565224587837236,0.00668324372031026,-0.013099271043086596,-0.006609333365842431,0.001136943950283395,-0.015007694619291611,0.0074442367291421615,0.038851753957216247
feelings,-0.06574956078918157,0.0653066291606878,-0.007262953930883617,-0.01111494247039751,0.03503219086552775,0.05104212171896368,0.029120456604846794,-0.06500726577877358,-0.026815873833423425,-0.04952595273942291
return,-0.04821548854273945,0.04168697381087049,-0.0013029142823580001,-0.0033263188466396824,0.0027530535093501706,-0.025526994971979865,0.026024029098128787,0.0002734792539353237,-0.0037825751961804445,0.020294693806702256
dear,-0.06759258959054174,0.06563474802910016,-0.005476692427649756,-0.000984288475052263,0.03271625988497336,-0.14733514927055985,-0.00999718471677615,0.006930997695735589,0.10573058089182559,0.0742798550245761
want,-0.029169924388481684,-0.019041447459418583,0.004149267395955074,-0.02796636154709,-0.0016564343746173261,-0.02601981173596438,-0.031008746424181246,-0.06222246328958652,0.0073774624467015755,0.017156517450078314
less,-0.02354451167108493,0.006213089003053322,0.004132577054585356,-0.000863285994331588,-0.029229204995047,0.006053740210851692,-0.02707826059885495,0.02740361080336354,0.009143536030677458,-0.008645158661470505
enough,-0.026610352709864338,-0.01206050776840152,0.01205361134848331,-0.025459786630911002,-0.026420079930160118,0.0005689063406611012,-0.013866428486839182,-0.008641810761538329,-0.0020796902470074136,0.030036049697157122
remember,-0.03102514224346457,0.00774185803038258,-0.016643652224997186,0.0048665009327305735,-0.018896391311950124,-0.0026295741434571467,0.0010590889109462094,-0.04942582350114476,0.051311880449964486,0.05054537635765953
given,-0.023284347549875992,0.00841974319645484,0.0009404726803417576,0.00976529170105697,0.007390738087994907,0.011424851300761275,-0.03478265029137303,0.014795983121981163,0.012535337883843183,3.699638998678193e-05
creature,-0.042861666067716186,0.033155271220706724,-0.009003591173461138,-0.006753286898878087,-0.01725625885480971,0.019965843247798473,0.0890679477210379,0.021633697713502157,-0.04334086743758603,0.014566331022504054
coming,-0.030180971944940307,-0.040610884190130016,0.014597285145368446,0.011836250079206669,-0.012185563524414668,0.010254007481186185,0.002286152099583325,0.03578607346042486,0.046522210173180104,0.013991403354027359
blue,-0.020595187335264473,-0.006258745144125965,0.019405563346770703,0.0038645243004777046,0.01855100258294087,-0.011425852568715734,-0.0028061899618087413,0.006196504172660576,-0.0026320999756908603,0.018823688687414665
along,-0.031230633999639337,-0.01808513905919,0.008909009568044607,0.0018197366356117288,-0.006311698550574681,0.04113045950261219,0.017559971238629672,0.04115035799117006,0.07794826304933108,0.012829587009246501
mine,-0.03125707610048284,0.02059461341230353,-0.0019885301934173556,0.0021834344240411027,-0.009305044320796757,-0.0026596848942156918,0.0301852407528537,-0.020263528551697222,-0.011830176769382778,0.009757591304044
town,-0.033489052048771464,0.009232087108660051,-0.02208665741873035,-0.00222893388066024,0.024558250743481863,-0.0157494458887426,0.006890134802068055,0.007599920680097876,0.02979406164784633,-0.015319593325619026
horror,-0.046489512937259926,0.03885050052662463,-0.004054432167717023,-0.005256166307697722,0.04011407470229004,0.02292719207283865,0.06264512309120927,0.05869249539312705,-0.024057295304702162,0.009586042596432996
endeavoured,-0.02839736740077706,0.026962305387884418,-0.0017830698648288227,-0.0033049747151947238,0.020886482273955554,0.011132413049245948,-0.0018698409127073867,0.011200503725917736,-0.0189145873566599,-0.005092214590163566
silence,-0.026150203581904133,-0.0021063013113466,0.014175391649367737,-0.018751576976369408,-0.015467810167582861,0.014596456227165218,0.01773056067758881,-0.006147799959226457,0.0033381197602280113,0.007168275760866198
silent,-0.023454295866338983,0.0042757663512025985,0.002558569619377197,-0.0027885970043590156,-0.011052947790262582,-0.0012933379777496487,0.016557703236550345,0.0011817254439057334,-0.003219954938857998,0.01897948786823599
visible,-0.02436414303871353,-0.029640511343372148,-0.021714677512705373,-0.0063757450343288604,-0.007035367020611887,0.0015323468902924333,-0.008087548816421857,-0.008546166272107133,0.013753227594187468,0.0006169994721584804
corner,-0.028281685510694647,-0.041229428800342124,0.0085378934134381,0.018109678062607538,0.0049126000036323085,0.036416376671896164,0.0032891576124664266,0.02502609251266359,0.05718845031856334,0.023175006571110747
months,-0.042830708060574436,0.03842707280803054,-0.004465244577874916,-0.0026619247640619903,0.03267404006109539,0.002910600508905719,-0.006453126113056381,-0.022722828664140316,0.009546202217050145,-0.008627556249684552
name,-0.031871418411032824,0.004028169164663172,0.010195714936925846,0.01132534032040359,-0.010066814013660021,0.0030679478706809025,-0.05405453288730845,-0.012722036826673368,-0.038218129216345105,0.001645939999927212
struck,-0.024958211122957236,-0.017903214127318774,0.0006636309217554042,0.0015165631936929571,0.005800077344305572,0.020113533367723962,0.009479010052168942,-0.009001168271446595,0.005097775369023624,-0.03637582545842461
